TiNbZrCu_9	
2θ, °	Intensity, counts
58.98	1451.443
59	1455.505
59.02	1521.061
59.04	1389.036
59.06	1445.434
59.08	1357.801
59.1	1448.251
59.12	1452.569
59.14	1456.079
59.16	1477.583
59.18	1404.752
59.2	1408.021
59.22	1358.887
59.24	1457.193
59.26	1427.472
59.28	1419.149
59.3	1489.099
59.32	1432.519
59.34	1474.227
59.36	1509.531
59.38	1422.696
59.4	1408.57
59.42	1436.661
59.44	1392.847
59.46	1459.86
59.48	1425.703
59.5	1484.758
59.52	1406.85
59.54	1394.142
59.56	1420.146
59.58	1379.687
59.6	1381.652
59.62	1359.411
59.64	1422.578
59.66	1422.408
59.68	1418.562
59.7	1516.818
59.72	1421.148
59.74	1351.137
59.76	1461.484
59.78	1451.005
59.8	1392.84
59.82	1421.011
59.84	1377.5
59.86	1421.414
59.88	1423.605
59.9	1451.505
59.92	1497.82
59.94	1363.825
59.96	1407.938
59.98	1386.979
60	1379.927
60.02	1415.123
60.04	1454.531
60.06	1414.082
60.08	1347.483
60.1	1410.579
60.12	1460.121
60.14	1393.538
60.16	1392.776
60.18	1419.187
60.2	1364.598
60.22	1422.25
60.24	1390.857
60.26	1403.693
60.28	1405.967
60.3	1443.806
60.32	1443.485
60.34	1434.947
60.36	1399.748
60.38	1393.331
60.4	1421.172
60.42	1384.346
60.44	1364.438
60.46	1437.106
60.48	1453.559
60.5	1374.042
60.52	1326.176
60.54	1392.712
60.56	1446.95
60.58	1432.602
60.6	1409.294
60.62	1403.85
60.64	1396.983
60.66	1363.976
60.68	1376.985
60.7	1396.87
60.72	1379.6
60.74	1358.826
60.76	1420.292
